,Unnamed: 0,actual,predicted,rec,date,open,high,low,close,volume
1158,1158,3245.22,3193.869873,sell,2021-08-11 16:30:00+04:30,3214.39,3274,3206.25,3245.22,132981.3007
1159,1159,3249.65,3216.891357,sell,2021-08-11 20:30:00+04:30,3245.23,3257,3220,3249.65,88080.30947
1160,1160,3160.5,3231.116699,buy,2021-08-12 00:30:00+04:30,3249.66,3264.8,3150,3160.5,127875.0551
1161,1161,3211.95,3200.102783,sell,2021-08-12 04:30:00+04:30,3160.4,3239,3147.11,3211.95,84094.42459
1162,1162,3141.63,3198.974365,buy,2021-08-12 08:30:00+04:30,3211.96,3219.87,3093.14,3141.63,149304.1599
1163,1163,3094.34,3166.520752,buy,2021-08-12 12:30:00+04:30,3141.64,3171.7,3085.93,3094.34,113665.7845
1164,1164,3029.76,3126.186768,buy,2021-08-12 16:30:00+04:30,3094.31,3118.4,3020,3029.76,166067.7765
1165,1165,3048.55,3072.007813,sell,2021-08-12 20:30:00+04:30,3029.83,3066.97,2979.29,3048.55,144958.632
1166,1166,3045.96,3044.442627,sell,2021-08-13 00:30:00+04:30,3048.56,3073.95,2985.91,3045.96,79537.68057
1167,1167,3088.22,3029.36499,sell,2021-08-13 04:30:00+04:30,3046.11,3097,3033.8,3088.22,50008.14934
1168,1168,3222.99,3042.386475,sell,2021-08-13 08:30:00+04:30,3088.23,3231.83,3088.22,3222.99,86598.86132
1169,1169,3213.68,3113.385254,sell,2021-08-13 12:30:00+04:30,3222.99,3260.25,3212.55,3213.68,130979.7478
1170,1170,3214.04,3161.023193,sell,2021-08-13 16:30:00+04:30,3213.68,3245,3179.49,3214.04,100034.6266
1171,1171,3224.98,3189.007324,sell,2021-08-13 20:30:00+04:30,3214.04,3243.68,3197.82,3224.98,57106.86402
1172,1172,3322.32,3208.37085,sell,2021-08-14 00:30:00+04:30,3224.98,3327.83,3211.93,3322.32,154605.1542
1173,1173,3295.49,3259.339355,sell,2021-08-14 04:30:00+04:30,3322.33,3326,3283.3,3295.49,69793.88276
1174,1174,3307.39,3281.184326,sell,2021-08-14 08:30:00+04:30,3295.49,3323.86,3277.04,3307.39,60828.2766
1175,1175,3244.76,3296.394775,buy,2021-08-14 12:30:00+04:30,3307.82,3330.98,3200,3244.76,153000.3709
1176,1176,3270.71,3275.08667,sell,2021-08-14 16:30:00+04:30,3244.84,3276.7,3210,3270.71,88740.60802
1177,1177,3262.33,3268.786133,sell,2021-08-14 20:30:00+04:30,3270.41,3289,3231,3262.33,57691.58441
1178,1178,3263.16,3261.153564,sell,2021-08-15 00:30:00+04:30,3262.58,3277.48,3215.01,3263.16,56047.81515
1179,1179,3247.62,3255.24585,sell,2021-08-15 04:30:00+04:30,3263.16,3289.8,3245.66,3247.62,62541.6329
1180,1180,3161.5,3246.684814,buy,2021-08-15 08:30:00+04:30,3247.63,3257.75,3155,3161.5,88682.40586
1181,1181,3160.55,3203.101563,buy,2021-08-15 12:30:00+04:30,3161.5,3176.69,3132.69,3160.55,100606.383
1182,1182,3156.7,3171.967041,sell,2021-08-15 16:30:00+04:30,3160.54,3197.63,3135,3156.7,96285.43564
1183,1183,3207.88,3152.906982,sell,2021-08-15 20:30:00+04:30,3156.98,3218.66,3111.13,3207.88,89998.6637
1184,1184,3307.09,3163.473877,sell,2021-08-16 00:30:00+04:30,3207.87,3320,3201.83,3307.09,127465.1566
1185,1185,3260.94,3218.067871,sell,2021-08-16 04:30:00+04:30,3307.35,3335,3258.68,3260.94,110385.2513
1186,1186,3276.16,3238.27417,sell,2021-08-16 08:30:00+04:30,3260.93,3311.84,3258.68,3276.16,91075.2032
1187,1187,3290.26,3255.866211,sell,2021-08-16 12:30:00+04:30,3276.16,3310,3248.31,3290.26,100559.2361
1188,1188,3223.84,3269.851807,buy,2021-08-16 16:30:00+04:30,3290.27,3298.35,3182.73,3223.84,143496.1868
1189,1189,3176.85,3247.360352,buy,2021-08-16 20:30:00+04:30,3223.84,3245,3162.5,3176.85,72744.09637
1190,1190,3146.53,3211.284912,buy,2021-08-17 00:30:00+04:30,3177.04,3201.52,3135.22,3146.53,117407.0804
1191,1191,3194.69,3173.563721,sell,2021-08-17 04:30:00+04:30,3147.18,3210.28,3115.63,3194.69,101267.7512
1192,1192,3171,3169.900391,sell,2021-08-17 08:30:00+04:30,3194.97,3215.65,3135.27,3171,88636.87538
1193,1193,3257.71,3160.646973,sell,2021-08-17 12:30:00+04:30,3170.81,3279.99,3168.39,3257.71,115730.4156
1194,1194,3165.82,3194.672607,buy,2021-08-17 16:30:00+04:30,3257.71,3290,3159.92,3165.82,148097.763
1195,1195,3116.91,3180.762695,buy,2021-08-17 20:30:00+04:30,3165.83,3190.68,3102.08,3116.91,123216.9383
1196,1196,3011.72,3147.721436,buy,2021-08-18 00:30:00+04:30,3116.92,3126.56,2991.89,3011.72,228046.3264
1197,1197,3049.87,3077.894287,sell,2021-08-18 04:30:00+04:30,3011.73,3050.61,2950,3049.87,146895.2348
1198,1198,3030.37,3047.342041,sell,2021-08-18 08:30:00+04:30,3049.87,3085.21,3023.08,3030.37,76794.38938
1199,1199,2999.84,3026.987061,buy,2021-08-18 12:30:00+04:30,3030.37,3068.51,2989.6,2999.84,87972.97972
1200,1200,3111.23,3004.024902,sell,2021-08-18 16:30:00+04:30,2999.85,3114.83,2995.56,3111.23,120270.2571
1201,1201,3030.81,3038.540283,buy,2021-08-18 20:30:00+04:30,3111.24,3125.81,3022,3030.81,113738.9412
1202,1202,3014.55,3031.507324,buy,2021-08-19 00:30:00+04:30,3030.8,3060.41,2998.02,3014.55,79431.45348
1203,1203,2966.99,3019.103271,buy,2021-08-19 04:30:00+04:30,3014.18,3051.7,2966,2966.99,134716.8151
1204,1204,2995.37,2990.758057,sell,2021-08-19 08:30:00+04:30,2966.14,3018,2958.33,2995.37,109219.9041
