,actual,predicted
549,2772.4200000000005,2727.98291015625
550,2839.01,2717.85205078125
551,2858.74,2762.438232421875
552,2857.6000000000004,2812.8154296875
553,2866.37,2800.0498046875
554,2925.49,2818.677734375
555,2944.77,2871.884521484375
556,2901.51,2883.778564453125
557,2892.9,2860.82666015625
558,2936.2499999999995,2861.02197265625
559,2929.15,2880.30419921875
560,2963.56,2876.624755859375
561,2949.56,2919.28564453125
562,3054.33,2917.851318359375
563,3146.95,2991.837646484375
564,3151.95,3072.973388671875
565,3163.66,3072.541015625
566,3301.27,3077.488525390625
567,3431.04,3205.14697265625
568,3232.25,3311.31103515625
569,3313.63,3126.213623046875
570,3480.01,3275.853759765625
571,3228.49,3390.271728515625
572,3412.9000000000005,3084.98193359375
573,3239.01,3271.4130859375
574,3296.34,3213.191162109375
575,3339.51,3189.1396484375
576,3352.65,3262.25
577,3305.9,3286.0361328125
578,3480.84,3225.029541015625
579,3524.26,3377.22021484375
580,3469.1800000000003,3418.625
581,3439.2,3384.291259765625
582,3523.15,3392.6298828125
583,3551.25,3465.6162109375
584,3482.07,3456.319091796875
585,3489.73,3382.271728515625
586,3424.01,3446.096923828125
587,3434.17,3381.931640625
588,3443.48,3364.083251953125
589,3560.93,3415.8447265625
590,3512.59,3486.569091796875
591,3479.53,3460.422607421875
592,3532.1,3436.673828125
593,3527.87,3498.438232421875
594,3540.24,3478.572021484375
595,3631.16,3479.626220703125
596,3811.84,3548.734130859375
597,3910.26,3682.548583984375
598,3870.09,3807.853515625
599,3937.7599999999998,3794.721923828125
600,3851.98,3852.046142578125
601,3878.46,3802.659423828125
602,3862.96,3737.591552734375
603,3923.95,3811.163818359375
604,4054.58,3871.492431640625
605,4105.85,3956.07763671875
606,4066.18,4032.822998046875
607,4156.37,3976.57177734375
608,3991.12,4025.205810546875
609,3945.88,3919.391845703125
610,3855.52,3737.031982421875
611,3961.68,3756.775634765625
612,3971.98,3869.50732421875
613,4020.99,3872.569580078125
614,4067.06,3910.046875
615,4173.45,3997.78466796875
616,4332.81,4078.06005859375
617,4306.42,4203.15576171875
618,4273.91,4210.91357421875
619,4189.07,4177.3955078125
620,4083.9199999999996,4123.77978515625
621,3823.21,3904.891845703125
622,3941.08,3719.284423828125
623,3968.0,3690.786376953125
624,3744.47,3825.4541015625
625,3747.02,3531.886962890625
626,3651.75,3628.307861328125
627,3717.91,3548.046875
628,3790.81,3545.812255859375
629,3881.66,3670.119140625
630,3999.82,3727.6123046875
631,4131.29,3843.2314453125
632,4046.35,3965.950927734375
633,4075.01,3923.465087890625
634,4025.63,3938.491455078125
635,3907.6600000000003,3934.075439453125
