,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,chiku,kijunAndSpanBCross,tenkensenAndkijunsen,priceAndABSpan,tenkensenAndPriceWithKijunsen,sAAndB
266,2021-07-11 09:54:00+04:30,0,1,1,1,1.0,1,1,1,0,1
267,2021-07-11 09:55:00+04:30,1,1,1,1,1.0,1,1,1,1,1
268,2021-07-11 09:56:00+04:30,1,1,1,1,1.0,1,1,1,1,1
269,2021-07-11 09:57:00+04:30,1,1,1,1,1.0,1,1,1,1,1
270,2021-07-11 09:58:00+04:30,1,1,1,1,1.0,1,1,1,1,1
271,2021-07-11 09:59:00+04:30,1,1,1,1,1.0,1,1,1,1,1
272,2021-07-11 10:00:00+04:30,1,1,1,1,1.0,1,1,1,1,1
273,2021-07-11 10:01:00+04:30,1,1,1,1,1.0,1,1,1,1,1
274,2021-07-11 10:02:00+04:30,1,1,1,1,1.0,1,1,1,1,1
275,2021-07-11 10:03:00+04:30,1,1,1,1,1.0,1,1,1,1,1
276,2021-07-11 10:04:00+04:30,1,1,1,1,1.0,1,1,1,1,1
277,2021-07-11 10:05:00+04:30,0,1,1,1,1.0,1,1,1,0,1
278,2021-07-11 10:06:00+04:30,1,1,1,1,1.0,1,1,1,1,1
279,2021-07-11 10:07:00+04:30,1,1,1,1,1.0,1,1,1,1,1
280,2021-07-11 10:08:00+04:30,0,1,1,1,1.0,1,1,1,0,1
281,2021-07-11 10:09:00+04:30,1,1,1,1,1.0,1,1,1,1,1
282,2021-07-11 10:10:00+04:30,1,1,1,1,1.0,1,1,1,1,1
283,2021-07-11 10:11:00+04:30,1,1,1,1,1.0,1,1,1,1,1
284,2021-07-11 10:12:00+04:30,1,1,1,1,1.0,1,1,1,1,1
285,2021-07-11 10:13:00+04:30,1,1,1,1,1.0,1,1,1,1,1
286,2021-07-11 10:14:00+04:30,0,1,1,1,1.0,1,1,1,0,1
287,2021-07-11 10:15:00+04:30,1,1,1,1,1.0,1,1,1,1,1
288,2021-07-11 10:16:00+04:30,0,1,1,1,1.0,1,1,1,0,1
289,2021-07-11 10:17:00+04:30,1,1,1,1,1.0,1,1,1,1,1
290,2021-07-11 10:18:00+04:30,0,1,1,1,1.0,1,1,1,0,1
291,2021-07-11 10:19:00+04:30,0,1,1,1,1.0,1,1,1,0,1
292,2021-07-11 10:20:00+04:30,0,1,1,1,1.0,1,1,1,0,1
293,2021-07-11 10:21:00+04:30,1,1,1,1,1.0,1,1,1,1,1
294,2021-07-11 10:22:00+04:30,0,1,1,1,1.0,1,1,1,0,1
295,2021-07-11 10:23:00+04:30,1,1,1,1,1.0,1,1,1,1,1
296,2021-07-11 10:24:00+04:30,0,0,1,1,1.0,1,0,1,0,1
297,2021-07-11 10:25:00+04:30,1,0,1,1,1.0,1,0,1,0,1
298,2021-07-11 10:26:00+04:30,1,1,1,1,1.0,1,0,1,0,1
299,2021-07-11 10:27:00+04:30,1,1,1,1,1.0,1,0,1,0,1
300,2021-07-11 10:28:00+04:30,0,0,1,1,1.0,1,0,1,0,1
301,2021-07-11 10:29:00+04:30,1,0,1,1,1.0,1,0,1,0,1
302,2021-07-11 10:30:00+04:30,1,1,1,1,1.0,1,0,1,0,1
303,2021-07-11 10:31:00+04:30,1,1,1,1,1.0,1,1,1,1,1
304,2021-07-11 10:32:00+04:30,1,1,1,1,1.0,1,1,1,1,1
305,2021-07-11 10:33:00+04:30,1,1,1,1,1.0,1,1,1,1,1
306,2021-07-11 10:34:00+04:30,1,1,1,1,1.0,1,1,1,1,1
307,2021-07-11 10:35:00+04:30,1,1,1,1,1.0,1,1,1,1,1
308,2021-07-11 10:36:00+04:30,1,1,1,1,1.0,1,1,1,1,1
309,2021-07-11 10:37:00+04:30,1,1,1,1,0.0,1,1,1,1,1
310,2021-07-11 10:38:00+04:30,1,1,1,1,1.0,1,1,1,1,1
311,2021-07-11 10:39:00+04:30,1,1,1,1,1.0,1,1,1,1,1
312,2021-07-11 10:40:00+04:30,1,1,1,1,1.0,1,1,1,1,1
