,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,IKS_26_chiku,kijunAndSpanBCross
395,2021-06-30 08:10:00+04:30,1,0,0,0,1,0
396,2021-06-30 08:11:00+04:30,1,0,0,0,1,0
397,2021-06-30 08:12:00+04:30,1,1,0,0,0,0
398,2021-06-30 08:13:00+04:30,1,1,0,0,0,0
399,2021-06-30 08:14:00+04:30,1,1,0,0,0,0
400,2021-06-30 08:15:00+04:30,1,1,0,0,0,0
401,2021-06-30 08:16:00+04:30,1,1,0,0,0,0
402,2021-06-30 08:17:00+04:30,0,1,0,0,0,0
403,2021-06-30 08:18:00+04:30,0,1,0,0,0,0
404,2021-06-30 08:19:00+04:30,0,1,0,0,0,0
405,2021-06-30 08:20:00+04:30,0,0,0,0,1,0
406,2021-06-30 08:21:00+04:30,0,0,0,0,1,0
407,2021-06-30 08:22:00+04:30,0,1,0,0,0,0
408,2021-06-30 08:23:00+04:30,0,0,0,0,1,0
409,2021-06-30 08:24:00+04:30,0,0,0,0,1,0
410,2021-06-30 08:25:00+04:30,0,0,0,0,1,0
411,2021-06-30 08:26:00+04:30,1,0,0,0,1,0
412,2021-06-30 08:27:00+04:30,1,0,0,0,1,0
413,2021-06-30 08:28:00+04:30,0,0,0,0,1,0
414,2021-06-30 08:29:00+04:30,1,0,0,0,1,0
415,2021-06-30 08:30:00+04:30,1,0,0,0,1,0
416,2021-06-30 08:31:00+04:30,1,1,0,0,0,0
417,2021-06-30 08:32:00+04:30,1,1,0,0,0,0
418,2021-06-30 08:33:00+04:30,1,1,0,0,0,0
419,2021-06-30 08:34:00+04:30,1,1,0,0,0,0
420,2021-06-30 08:35:00+04:30,1,0,0,0,1,0
421,2021-06-30 08:36:00+04:30,1,0,0,0,1,0
422,2021-06-30 08:37:00+04:30,0,0,0,0,1,0
423,2021-06-30 08:38:00+04:30,1,0,0,0,1,0
424,2021-06-30 08:39:00+04:30,0,0,0,0,1,0
425,2021-06-30 08:40:00+04:30,1,1,0,0,0,0
426,2021-06-30 08:41:00+04:30,1,1,0,0,0,0
427,2021-06-30 08:42:00+04:30,1,1,0,0,0,0
428,2021-06-30 08:43:00+04:30,1,1,0,0,0,0
