,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
390,33627.69,33567.925,33668.130000000005,33648.655,33691.01
391,33627.8925,33567.925,33677.18,33656.515,33716.57
392,33627.8925,33567.925,33683.485,33657.58,33706.99
393,33627.8925,33567.925,33690.854999999996,33657.58,33694.16
394,33627.8925,33567.925,33697.265,33657.58,33699.99
395,33627.915,33567.925,33709.009999999995,33657.81,33718.77
396,33629.39,33567.925,33709.59,33657.81,33745.18
397,33636.845,33567.925,33716.115,33664.335,33772.29
398,33639.535,33567.925,33716.64,33664.335,33790.7
399,33638.9025,33567.925,33721.005000000005,33666.515,33764.99
400,33634.38,33567.925,33743.9,33689.41,33773.85
401,33632.7775,33567.925,33746.005000000005,33691.515,33753.55
402,33630.5125,33567.925,33746.005000000005,33691.515,33754.98
403,33626.5225,33572.509999999995,33746.005000000005,33696.84,33766.52
404,33624.215,33575.8,33746.005000000005,33701.025,33787.02
405,33631.075,33607.33,33743.369999999995,33710.990000000005,33793.45
406,33636.625,33612.2,33743.369999999995,33710.990000000005,33804.87
407,33639.725,33614.61,33743.369999999995,33710.990000000005,33821.83
408,33639.725,33614.71,33743.369999999995,33712.18,33826.36
409,33639.725,33619.315,33743.369999999995,33717.42,33801.59
410,33639.725,33619.315,33739.020000000004,33724.79,33821.58
411,33639.725,33619.315,33728.425,33731.2,33807.5
412,33642.3875,33625.83,33728.425,33742.715,33794.2
413,33646.270000000004,33627.979999999996,33728.425,33743.295,33814.88
414,33654.7525,33631.479999999996,33724.08,33740.09,33800.0
415,33656.572499999995,33633.3,33721.495,33737.505000000005,33788.56
416,33658.3925,33635.119999999995,33720.005000000005,33737.505000000005,33811.98
417,33666.8475,33642.979999999996,33713.350000000006,33737.505000000005,33781.32
418,33670.5325,33644.045,33713.31,33737.505000000005,33791.33
419,33674.2175,33644.045,33708.96000000001,33737.505000000005,33815.0
420,33677.4225,33644.045,33697.505000000005,33737.505000000005,33832.24
421,33683.409999999996,33644.274999999994,33697.505000000005,33737.505000000005,33820.57
422,33683.7,33644.274999999994,33710.100000000006,33737.505000000005,33800.0
423,33690.225,33653.21,33724.505000000005,33737.505000000005,33762.55
424,33690.4875,33664.335,33740.104999999996,33737.505000000005,33765.7
425,33693.76,33666.515,33740.104999999996,33737.505000000005,33725.49
426,33716.655,33689.41,33740.104999999996,33737.505000000005,33685.48
427,33718.76,33691.515,33740.104999999996,33737.5,33700.01
428,33718.76,33691.515,33745.17,33737.5,33736.74
429,33721.4225,33691.515,33749.99,33737.5,33727.28
430,33723.515,33691.515,33757.899999999994,33737.5,33723.65
431,33727.18,33691.515,33770.55,33737.5,33712.99
432,33727.18,33691.515,33775.97,33742.57,33714.37
433,33727.18,33691.515,33787.229999999996,33753.83,33722.56
434,33727.774999999994,33691.515,33793.979999999996,33760.58,33745.92
435,33730.395,33691.515,33793.979999999996,33760.58,33730.94
436,33731.905,33691.515,33793.979999999996,33760.58,33746.9
437,33729.8125,33691.515,33793.979999999996,33760.58,33729.01
